Started scraping: 2026-09-04 19:34:13 | Total tasks: 576
[19:34:20] Progress: 25/576 | Success: 0 | Miss: 25
[19:34:34] Progress: 50/576 | Success: 18 | Miss: 32
[19:34:52] Progress: 75/576 | Success: 43 | Miss: 32
[19:35:08] Progress: 100/576 | Success: 68 | Miss: 32
[19:35:26] Progress: 125/576 | Success: 93 | Miss: 32
[19:35:42] Progress: 150/576 | Success: 118 | Miss: 32
[19:35:57] Progress: 175/576 | Success: 142 | Miss: 33
[19:36:13] Progress: 200/576 | Success: 167 | Miss: 33
[19:36:27] Progress: 225/576 | Success: 187 | Miss: 38
[19:36:44] Progress: 250/576 | Success: 212 | Miss: 38
[19:37:01] Progress: 275/576 | Success: 236 | Miss: 39
[19:37:19] Progress: 300/576 | Success: 261 | Miss: 39
[19:37:37] Progress: 325/576 | Success: 286 | Miss: 39
[19:37:53] Progress: 350/576 | Success: 311 | Miss: 39
[19:38:08] Progress: 375/576 | Success: 326 | Miss: 49
[19:38:27] Progress: 400/576 | Success: 351 | Miss: 49
[19:38:45] Progress: 425/576 | Success: 376 | Miss: 49
[19:39:04] Progress: 450/576 | Success: 401 | Miss: 49
